lat,lng,HAZ_CLASS
-415365.4984,317953.662,1
-415743.9177,81940.1686,1
-416593.1187,318144.6082,1
-414328.0744,316936.0203,1
-414444.4264,317234.9045,1
-414155.5451,317024.1441,1
-414026.8277,316739.1951,1
-413866.3895,317681.9954,1
-413783.6159,316515.3861,1
-414014.7525,318422.7707,1
-413649.2706,319022.5944,1
-413473.606,316905.2434,1
-413495.2532,317713.3467,1
-413412.7161,318613.4224,1
-413537.5263,319318.3913,1
-413253.4001,75425.9953,1
-413441.836,317216.2594,1
-413290.974,317806.5378,1
-413335.1724,318443.595,1
-413304.7936,318809.8416,1
-413245.3374,319056.4421,1
-413165.4448,75532.7127,1
-413133.458,316588.4899,1
-414142.3806,320537.9038,1
-413525.0212,283711.9328,1
-413101.6957,292536.913,1
-412324.232,320933.2103,1
-412556.2808,76546.592,1
-412635.3246,317838.0877,1
-412176.7523,77229.2174,1
-412216.6769,321131.5084,1
-412095.9484,77316.7057,1
-412000.1161,77435.8271,1
-411915.0868,77538.8163,1
-411878.5588,77593.0765,1
-412049.0639,320897.8038,1
